Name,Matches,Runs,Bat_Average
Ehsanul Haque,6(2002-2003),57,9.5
Clive E Eksteen,6(1991-1994),6,N/A
Dean Elgar,8(2012-),104,17.33
Elias Sunny,4(2011-2012),2,1
Grant D Elliott,83(2008-2016),1976,34.07
Matthew T G Elliott,1(1997-1997),1,1
Andrew M Ellis,15(2012-2013),153,13.91
Richard M Ellison,14(1984-1986),86,10.75
Steven Elworthy,39(1998-2002),100,12.5
John E Emburey,61(1980-1993),501,14.31
Philip A Emery,1(1994-1994),11,N/A
Rayad R Emrit,2(2007-2007),13,13
Enamul Haque,10(2005-2009),12,3
Enamul Haque,29(1990-2002),236,11.24
Farokh M Engineer,5(1974-1975),114,38
Ranaweera Mudiyanselage Shaminda Eranga,19(2011-),34,11.33
Craig Richard Ervine,84(2010-),2176,31.09
Sean M Ervine,42(2001-2004),698,25.85
Jacob-Jan Esmeijer,6(2002-2003),10,2.5
Ebrahim A Essop-Adam,1(1992-1992),14,N/A
Alasdair C Evans,31(2009-),94,13.43
Craig Neil Evans,53(1992-2002),764,18.19
Gavin M Ewing,7(2004-2005),97,13.86
Fahad Alhashmi,5(2008-2015),0,0
Fahad Nawaz,2(2019-2019),2,1
Fahad Usman,2(2004-2004),9,4.5
Faheem Ashraf,18(2017-),104,11.56
Fahim Muntasir,3(2001-2002),6,3
Neil H Fairbrother,75(1987-1999),2092,39.47
Faisal Athar,1(2003-2003),9,9
Faisal Hossain,6(2004-2010),43,10.75
Faisal Iqbal,18(2000-2006),314,22.43
Fakhar Zaman,31(2017-),1442,53.41
Fareed Ahmad,5(2014-),1,N/A
Farhad Reza,34(2006-2011),412,16.48
Abdus S Faridi,3(2008-2008),19,9.5
Faruk Ahmed,7(1988-1999),105,15
James Peter Faulkner,69(2013-),1032,34.4
Fawad Ahmed,3(2013-2013),4,N/A
Fawad Alam,38(2007-2015),966,40.25
Fayyaz Ahmed,3(2014-),47,47
Faiz Yakub Fazal,1(2016-),55,N/A
Fazle Mahmud,2(2018-),0,0
Fazl-E-Akbar,2(1998-2001),7,7
Callum J Ferguson,30(2009-2011),663,41.44
Lachlan Hammond Ferguson,27(2016-),58,8.29
Nizel Fernandes,1(2008-2008),5,5
Asitha Madusanka Fernando,1(2017-),0,N/A
Congenige Randhi Dilhara Fernando,147(2001-2012),239,9.19
Edward R Fernando,3(1975-1975),47,15.67
Ellukutige R N S Fernando,7(1983-1983),101,20.2
Kandage H R K Fernando,7(2002-2006),43,21.5
Kandana A D M Fernando,1(2003-2003),0,N/A
Muthuthanthrige Vishwa Thilina Fernando,6(2017-),27,13.5
Thudellage C B Fernando,17(2001-2003),29,7.25
Thewarathantrige L Fernando,1(1989-1989),8,8
Ungamandadige N K Fernando,2(1994-1994),22,N/A
Weerahandige Inol Avishka Fernando,1(2016-),0,0
Aaron James Finch,100(2013-),3444,36.25
Shawn E Findlay,9(2008-2009),146,20.86
Steven Thomas Finn,69(2011-),136,8
Ryan Flannigan,1(2010-2010),0,0
Damien W Fleming,88(1994-2001),152,11.69
Matthew V Fleming,11(1997-1998),139,15.44
Stephen P Fleming,280(1994-2007),8037,32.41
Andre D S Fletcher,25(2008-),354,14.16
Duncan A G Fletcher,6(1983-1983),191,47.75
Keith W R Fletcher,24(1971-1982),757,39.84
Andrew Flintoff,141(1999-2009),3394,32.02
Andrew Flower,213(1992-2003),6786,35.34
Grant W Flower,221(1992-2010),6571,33.53
Daniel R Flynn,20(2008-2012),228,15.2
Christopher R Foggo,4(2008-2008),106,26.5
Peter J Forrest,15(2012-2012),368,26.29
James S Foster,11(2001-2002),41,13.67
Maurice L C Foster,2(1973-1973),25,25
Neil A Foster,48(1984-1989),150,11.54
Marthinus J Fourie,7(2007-2008),42,21
Graeme Fowler,26(1983-1986),744,31
James E C Franklin,110(2001-2013),1271,23.98
Trevor J Franklin,3(1983-1988),27,9
Paul J Franks,1(2000-2000),4,4
Frasat Ali,3(1975-1975),57,19
Angus R C Fraser,42(1989-1999),141,12.82
Roy C Fredericks,12(1973-1977),311,25.92
Alexander N French,2(2004-2004),24,12
Bruce N French,13(1985-1988),34,6.8
Travis J Friend,51(2000-2004),548,16.12
Peter G Fulton,49(2004-2009),1334,32.54
Richard S Gabriel,11(1984-1984),167,15.18
Shannon Terry Gabriel,18(2016-),21,3.5
Anshuman D Gaekwad,15(1975-1987),269,20.69
Indika S Gallage,3(1999-2001),17,17
Janak C Gamage,4(1995-1995),8,N/A
Panagamuwa Lahiru Sampath Gamage,9(2014-),4,2
Gautam Gambhir,147(2003-2013),5238,39.68
Devang J Gandhi,3(1999-2000),49,16.33
Withanaarchchige C A Ganegama,4(2001-2006),7,3.5
Doddanarasiah Ganesh,1(1997-1997),4,4
Darren Ganga,35(1999-2006),843,25.55
Sourav C Ganguly,311(1992-2007),11363,41.02
Hamish J W Gardiner,11(2013-2015),262,23.82
Joel Garner,98(1977-1987),238,9.15
Leon V Garrick,3(2001-2001),99,33
Trevor N Garwe,1(2009-2009),0,N/A
Michael William Gatting,92(1977-1993),2095,29.51
Shakti P Gauchan,1(2018-),9,N/A
Rohan S Gavaskar,11(2004-2004),151,18.88
Sunil M Gavaskar,108(1974-1987),3092,35.14
Willie T Gavera,4(2014-),4,N/A
Christopher H Gayle,289(1999-),10151,38.16
Gazi Ashraf,7(1986-1990),59,8.43
Brett Geeves,2(2008-2009),10,N/A
Lee K Germon,37(1994-1997),519,19.96
Rajinder S Ghai,6(1984-1986),1,1
Karsan D Ghavri,19(1975-1981),114,11.4
Gholam Nousher,9(1986-1990),8,8
Ghulam Ali,3(1993-1995),53,17.67
Ghulam Shabber,19(2017-),424,22.32
Treadwell Gibbons,2(2006-2006),33,16.5
Herschelle Herman Gibbs,248(1996-2010),8094,36.13
Lancelot Richard Gibbs,3(1973-1975),0,N/A
Ottis D Gibson,15(1995-1997),141,14.1
Norman Gifford,2(1985-1985),0,0
David R Gilbert,14(1986-1986),39,7.8
Adam C Gilchrist,287(1996-2008),9619,35.89
Ashley F Giles,62(1997-2005),385,17.5
Jason N Gillespie,97(1996-2005),289,12.57
Mark R Gillespie,32(2006-2009),93,15.5
Peter G Gillespie,5(2006-2007),2,0.5
Stuart R Gillespie,19(1986-1988),70,11.67
Gary J Gilmour,5(1974-1975),42,42
Golam Faruq,5(1986-1990),44,22
Hilary A Gomes,83(1978-1987),1415,28.88
Dhiren M Gondaria,2(2013-2013),7,3.5
Manpreet Gony,2(2008-2008),0,N/A
Graham A Gooch,125(1976-1995),4290,36.98
Murray W Goodwin,71(1998-2000),1818,27.13
Yohan Goonasekera,3(1983-1983),69,23
Frederick R M D Goonatillake,1(1979-1979),0,N/A
Hettiarachige M Goonatillake,6(1982-1982),31,31
Jeremy O A G Gordon,5(2012-2014),7,3.5
Tyson G Gordon,5(2011-2011),27,5.4
Gordon Goudie,16(2008-2013),80,10
Darren Gough,159(1994-2006),609,12.43
Eric Gouka,3(1996-1996),19,19
Ian J Gould,18(1983-1983),155,12.92
David I Gower,114(1978-1991),3170,30.78
Shaun F Graf,11(1980-1981),24,4
Victor Grandia,1(2002-2002),0,0
Anthony H Gray,25(1985-1991),51,8.5
Evan J Gray,10(1984-1988),98,16.33
Adrian P Grayson,2(2000-2001),6,3
Mark J Greatbatch,84(1988-1996),2206,28.28
Alvin E Greenidge,1(1978-1978),23,23
Cuthbert Gordon Greenidge,128(1975-1991),5134,45.04
Anthony W Greig,22(1972-1977),269,16.81
Adrian F G Griffith,9(1996-2000),99,14.14
Trevor R Gripper,8(2001-2003),80,10
Timothy J G  Gruitjers,5(2010-2013),68,22.67
Runish D Gudhka,2(2011-2011),17,17
Gulbadin Naib,51(2011-),806,23.03
Downdegedara Asela Sampath Gunaratne,31(2016-),575,27.38
Pulasthi W Gunaratne,23(2002-2003),36,7.2
Ruvindu Gunasekera,19(2008-2014),455,23.95
Mashtayage Danushka Gunathilaka,36(2015-),1102,32.41
Aruna A W Gunawardene,1(1994-1994),2,2
Dihan Avishka Gunawardene,61(1998-2006),1708,28.47
Sandeep K Gupta,10(1996-2001),121,13.44
Martin J Guptill,169(2009-),6440,43.51
Gurdeep Singh,1(2013-2013),1,1
Gurkeerat Singh,3(2016-2016),13,6.5
Harry F Gurney,10(2014-2014),15,7.5
Gursharan Singh,1(1990-1990),4,4
Asanka Manjula Guruge,7(2014-2015),16,N/A
Asanka Pradeep Gurusinha,147(1985-1996),3902,28.28
Haafiz Shahid,3(1988-1988),11,11
Habibul Bashar,111(1995-2007),2168,21.68
Bradley James Haddin,126(2001-2015),3122,31.54
Barry G Hadlee,2(1975-1975),26,26
Dayle R Hadlee,11(1973-1976),40,8
Richard John Hadlee,115(1973-1990),1751,21.62
Hafizur Rahman,2(1986-1986),8,8
Ryan S Haire,2(2008-2008),56,28
Oli J Hairs,5(2010-2010),68,13.6
Alexander D Hales,70(2014-),2419,37.8
Andrew J Hall,88(1999-2007),905,21.05
James D Hall,3(2010-2010),28,9.33
Hamid Hassan,32(2009-),92,7.08
Gavin M Hamilton,38(1999-2010),1231,35.17
Lance J Hamilton,2(2005-2005),3,N/A
Hammad Azam,11(2011-2015),80,16
Jeffrey R Hammond,1(1972-1972),15,N/A
John H Hampshire,3(1971-1972),48,24
Hamza Tariq,7(2011-2014),116,16.57
Peter Stephen Patrick Handscomb,12(2017-),319,29
Hannan Sarkar,20(2002-2004),383,19.15
Amarbir S Hansra,24(2010-2014),421,23.39
Rana M Haq,54(2006-2015),566,16.65
Harbhajan Singh,236(1998-2015),1237,13.3
Harilal Shah,3(1975-1975),6,2
Haris Sohail,26(2013-),960,43.64
Stephen J Harmison,58(2002-2009),91,8.27
Haroon Rashid,12(1977-1982),166,20.75
Roger A Harper,105(1983-1996),855,16.13
Chris Zinzan Harris,250(1990-2004),4379,29
Joseph V Harris,6(2003-2003),91,15.17
Paul L Harris,3(2008-2008),0,N/A
Ryan James Harris,21(2009-2012),48,8
Matthew N Hart,13(1994-2002),61,7.63
Robert G Hart,2(2002-2002),0,0
Ronald T Hart,1(1985-1985),3,3
Blair R Hartland,16(1992-1994),311,20.73
Harun-Ur-Rashid,2(1988-1988),0,0
Ian J Harvey,73(1997-2004),715,17.88
Harvinder Singh,16(1997-2001),6,1.5
Shane M Harwood,1(2009-2009),0,0
Hasan Ali,44(2016-),203,12.69
Hasan Jamil,6(1977-1978),111,22.2
Hasan Raza,16(1996-1999),242,18.62
Haseeb Amjad,7(2014-2016),112,22.4
Hashmatullah Shahidi,27(2013-),736,33.45
Hasibul Hussain,32(1995-2004),172,8.6
Mark J Haslam,1(1992-1992),9,9
Hasti Gul,2(2009-2009),23,N/A
Brian F Hastings,11(1973-1975),151,18.88
John W Hastings,29(2010-),271,27.1
Upul Chandika Hathurusingha,35(1992-1999),669,20.91
Nathan M Hauritz,58(2002-2011),336,22.4
Matthew L Hayden,161(1993-2008),6133,43.81
Frank C Hayes,6(1973-1975),128,25.6
Roydon L Hayes,1(1995-1995),13,13
Desmond L Haynes,238(1978-1994),8648,41.38
Robert C Haynes,8(1989-1991),26,5.2
Mornantau Hayward,21(1998-2002),12,3
Josh Reginald Hazlewood,44(2010-),37,18.5
Hazratullah Zazai,4(2018-),107,26.75
Travis M Head,42(2016-),1273,34.41
Dean W Headley,13(1996-1999),22,11
Ronald G A Headley,1(1973-1973),19,19
Ian A Healy,168(1988-1997),1764,21
Stewart P Heaney,4(2006-2006),41,10.25
Samuel Daly Heazlett,1(2017-),4,4
Thomas J Heggelman,5(2010-2011),27,5.4
Edward E Hemmings,33(1982-1991),30,5
David L Hemp,22(2006-2009),641,33.74
Chandrapaul Hemraj,6(2018-),82,13.67
Claude W Henderson,4(2001-2001),0,N/A
Michael Hendrick,22(1973-1981),6,1.2
Beuran E Hendricks,2(2019-2019),2,N/A
Reeza R Hendricks,14(2018-),397,30.54
Moises C Henriques,11(2009-),81,9
Cornelius C Henry,2(1979-1979),6,6
Matthew J Henry,43(2014-),193,19.3
Omar Henry,3(1992-1992),20,10
Herath Mudiyanselage Rangana Keerthi Bandara Herath,71(2004-2015),140,9.33
Jack G Heron,6(1983-1983),50,8.33
Shimron Odilon Hetmeyer,25(2017-),899,40.86
Peter D Heyn,2(1975-1975),3,1.5
Graeme A Hick,120(1991-2001),3846,37.34
Ryan S Higgins,11(2006-2006),15,2.5
Andrew M J Hilditch,8(1979-1985),226,28.25
Benjamin William Hilfenhaus,25(2007-2012),29,9.67
Ryan O Hinds,14(2001-2004),101,16.83
Wavell W Hinds,119(1999-2010),2880,28.51
Hiri Hiri,3(2016-),26,13
Narendra D Hirwani,18(1988-1992),8,2
Paul A Hitchcock,14(2002-2008),41,10.25
Bradley J Hodge,25(2005-2007),575,30.26
Kyle C Hodsoll,3(2007-2008),2,2
Paul J C  Hoffmann,18(2006-2007),85,7.73
Thomas G Hogan,16(1983-1984),72,9
George B Hogg,123(1996-2008),790,20.26
Rodney M Hogg,71(1979-1985),137,9.13
Vincent R Hogg,2(1983-1983),7,N/A
Matthew J Hoggard,26(2001-2006),17,4.25
Jason Omar Holder,90(2013-),1471,26.27
Roland I C Holder,37(1993-1997),599,23.96
Vanburn A Holder,12(1973-1978),64,12.8
Michael A Holding,102(1976-1987),282,9.1
Robert G Holland,2(1985-1985),0,N/A
Adam J Hollioake,35(1996-1999),606,25.25
Ben C Hollioake,20(1997-2002),309,20.6
Delano W Hollis,1(2008-2008),15,N/A
Douglas T Hondo,56(2001-2005),127,7.47
David W Hookes,39(1977-1986),826,24.29
Calvert K Hooper,5(2007-2010),49,16.33
Carl L Hooper,227(1987-2003),5761,35.34
Kyle Antonio Hope,7(2017-),138,23
Shai Diego Hope,49(2016-),1777,45.56
James R Hopes,84(2005-2010),1326,25.02
Gareth J Hopkins,25(2004-2010),236,14.75
Matthew J Horne,50(1997-2002),980,20.42
Philip A Horne,4(1987-1987),50,12.5
David L Houghton,63(1983-1997),1530,26.38
Jamie M How,41(2005-2011),1046,29.06
Geoffrey Philip Howarth,70(1975-1985),1384,23.07
Hedley J Howarth,9(1973-1975),18,6
Llorne G Howell,12(1998-1998),287,23.92
Adam G Huckle,19(1997-1999),9,2.25
Andrew C Hudson,89(1991-1997),2559,29.41
Kimberley John Hughes,97(1977-1985),1968,24
Mervyn Gregory Hughes,33(1988-1993),100,11.11
Phillip Joel Hughes,25(2013-2014),826,35.91
Humayun Farhat,5(2001-2001),60,20
Geoffrey W Humpage,3(1981-1981),11,5.5
Kevin A D Hurdle,19(2006-2007),85,10.63
Ryan O Hurley,9(2003-2004),13,3.25
Alan G Hurst,8(1975-1979),7,N/A
Nasser Hussain,88(1989-2003),2332,30.29
Rana Omer Hussain,8(2006-2010),63,9
Hussain Talat,1(2019-2019),2,2
David J Hussey,69(2008-2013),1796,32.65
Michael E K Hussey,185(2004-2012),5442,48.16
Danza P Hyatt,9(2011-2011),112,14
Nicholas Ifill,4(2003-2006),16,5.33
Iftikhar Ahmed,2(2015-2015),8,4
Iftikhar Anjum,62(2004-2010),234,15.6
Alan P Igglesden,4(1994-1994),20,10
Ihsanullah Janat,16(2017-),307,21.93
Ijaz Ahmed,2(1997-1997),3,N/A
Ijaz Ahmed,250(1986-2000),6564,32.33
Ijaz Faqih,27(1980-1988),197,12.31
Ikram Ali Khil,1(2019-2019),5,N/A
Raymond Illingworth,3(1971-1973),5,2.5
Richard K Illingworth,25(1991-1996),68,11.33
Ilyas Gul,2(2004-2004),17,8.5
Imad Wasim,36(2015-),570,43.85
Imam-ul-Haq,21(2017-),1090,60.56
Imran Abbas,2(2000-2000),29,14.5
Imran Farhat,58(2001-2013),1719,30.7
Imran Haider,16(2017-),44,11
Imran Khan,175(1974-1992),3709,33.41
Imran Nazir,79(1999-2009),1895,24.61
Mohammad Imran Tahir,94(2011-),145,8.06
Imrul Kayes,78(2008-),2434,32.03
Imtiaz Abbasi,7(1994-1996),12,6
Colin A Ingram,31(2010-2013),843,32.42
Peter J Ingram,8(2010-2010),193,27.57
Intikhab Alam,4(1973-1976),17,8.5
Inzamam-ul-Haq,378(1991-2007),11739,39.53
Moneeb M Iqbal,13(2009-2014),192,24
Tariq Iqbal,3(1996-1996),17,8.5
Mohammad Iqbal Qasim,15(1977-1988),39,6.5
Iqbal Sikander,4(1992-1992),1,N/A
Ronald C Irani,31(1996-2003),360,14.4
Anthony J Ireland,26(2005-2007),30,3.75
Irfan Ahmed,6(2008-2014),99,16.5
Irfan Bhatti,1(1993-1993),0,N/A
Irfan Fazil,1(2000-2000),15,15
Irfan Sajid,1(2014-2014),2,2
Ishtiaq Muhammad,1(2016-2016),0,N/A
Shreyas S Iyer,6(2017-),210,42
Izatullah Dawlatzai,5(2010-2015),7,3.5
Steven D Jack,2(1994-1995),7,3.5
Robin D Jackman,15(1974-1983),54,6.75
Ridley D Jacobs,147(1996-2004),1865,23.31
Ajaysinhji Jadeja,196(1992-2000),5359,37.48
Ravindrasinh Anirudhsinh Jadeja,148(2009-),1990,30.62
Kedar M Jadhav,55(2014-),1083,47.09
Wasim Jaffer,2(2006-2006),10,5
Jahangir Alam,3(1997-1999),4,1.33
Jahangir Shah,5(1986-1990),16,8
Jahurul Islam,14(2010-2013),270,22.5
Jalaluddin,8(1982-1983),5,2.5
Jamaluddin Ahmed,1(2003-2003),18,N/A
Wayne Robert James,11(1992-1996),101,14.43
John A Jameson,3(1973-1975),60,20
Floris Jansen,2(1996-1996),0,N/A
Philip A Jaques,6(2006-2007),125,20.83
Kyle M Jarvis,40(2009-),153,7.29
Malcolm P Jarvis,12(1987-1995),37,18.5
Paul W Jarvis,16(1988-1993),31,5.17
Javed Ahmadi,41(2010-),947,24.92
Javed Miandad,233(1975-1996),7381,41.7
Javed Omar,59(1995-2007),1312,23.85
Javed Qadeer,1(1995-1995),12,12
Jawahir Shah,3(1975-1975),46,15.33
W Saman Jayantha,17(2004-2004),400,26.67
Pradeep S Jayaprakashdaran,1(2005-2005),0,N/A
Rohan S A Jayasekera,2(1982-1982),17,17
Sunil A Jayasinghe,2(1979-1979),1,1
Gampalage Shehan Naveendra De Fonseka Gunawarna Jayasuriya,9(2015-),83,13.83
Neketh Gedara Roshan Prabath Jayasuriya,2(2018-),11,11
Sanath Teran Jayasuriya,445(1989-2011),13430,32.36
Denagamage Proboth Mahela de Silva Jayawardene,448(1998-2015),12650,33.38
Hewasandatchige Asiri Prasanna Wishvanath Jayawardene,6(2003-2007),27,5.4
Sridharan Jeganathan,5(1983-1988),25,8.33
Terrence J Jenner,1(1975-1975),12,12
Kerry C B Jeremy,6(2000-2001),17,8.5
Trevor E Jesty,10(1983-1983),127,21.17
Karun Jethi,3(2008-2008),87,43.5
Joginder Sharma,4(2004-2007),35,35
Vinothen Bede John,45(1982-1987),84,9.33
Howard R Johnson,2(2004-2004),9,9
Leon R Johnson,6(2008-2015),98,16.33
Mitchell G Johnson,153(2005-2015),951,16.12
Mark R Johnson,2(2004-2004),20,10
Neil C Johnson,48(1998-2000),1679,36.5
Richard L Johnson,10(2003-2003),16,5.33
David Trent Johnston,67(2006-2013),743,19.55
Andrew H Jones,87(1987-1995),2784,35.69
Dean M Jones,164(1984-1994),6068,44.62
Geraint O Jones,51(2004-2014),862,24.63
Michael Alexander Jones,5(2018-),194,38.8
Malachi O Jones,12(2006-2007),113,11.3
Nigel G Jones,14(2010-2011),74,14.8
Richard A Jones,5(2003-2003),168,33.6
Simon P Jones,8(2004-2005),1,1
Luke M Jongwe,22(2014-2016),232,15.47
Christiaan Jonker,2(2018-),31,15.5
Mark B S Jonkman,15(2006-2010),43,10.75
Maurits M A Jonkman,5(2007-2010),36,12
Sundeep Jora,1(2019-),19,19
Christopher J Jordan,31(2013-),169,12.07
Alzarri S Joseph,16(2016-),101,33.67
Davis Joseph,4(2003-2003),13,N/A
Sylvester C Joseph,13(2000-2005),161,16.1
Sunil B Joshi,69(1996-2001),584,17.18
Dominick I Joyce,3(2006-2007),29,9.67
Edmund Christopher Joyce,78(2006-),2622,38
Jubair Hossain,3(2014-2015),5,5
Brendon P Julian,25(1993-1999),224,13.18
Bernard D Julien,12(1973-1977),86,14.33
Junaid Khan,71(2011-),63,4.85
Junaid Siddique,54(2007-2011),1196,23
Junaid Siddiqui,9(2011-2014),67,13.4
Junaid Zia,4(2003-2003),2,2
Sandeep Jyoti,14(2006-2010),264,22
Kabir Ali,14(2003-2006),93,15.5
Kabir Khan,10(1994-2000),10,10
Roy Kaia,1(2015-2015),0,N/A
Mohammad Kaif,125(2002-2006),2753,32.01
Abhijit V Kale,1(2003-2003),10,10
Alvin I Kallicharran,31(1973-1981),826,34.42
Jacques H Kallis,328(1996-2014),11579,44.36
Ruwan S Kalpage,86(1992-1999),844,20.59
Lalith W Kaluperuma,4(1975-1982),33,N/A
Sanath M S Kaluperuma,2(1988-1988),11,5.5
Romesh S Kaluwitharana,189(1990-2004),3711,22.22
James K Kamande,86(1999-2011),1055,17.3
Vinod G Kambli,104(1991-2000),2477,32.59
Kamran Akmal,157(2002-2017),3236,26.1
Kamran Hussain,2(2008-2008),28,N/A
Kamran Shahzad,4(2014-2015),22,11
Tafadzwa Kamungozi,14(2006-2015),27,5.4
Tinashe Stephen Kamunhukamwe,2(2018-),37,18.5
Kenneth Kamyuka,2(2013-2013),2,2
Sahan Hewa Thilina Kandamby,39(2004-2014),870,29
Arvindah L Kandappah,2(2007-2007),97,97
Danish Kaneria,18(2001-2007),12,6
Rohan B Kanhai,7(1973-1975),164,54.67
Hrishikesh H Kanitkar,34(1997-2000),339,17.84
Kapil Dev,225(1978-1994),3783,23.79
Aashish R Kapoor,17(1995-2000),43,7.17
Chamara Kantha Kapugedera,102(2006-),1624,21.09
Karan Khatri Chhetri,5(2018-),21,5.25
Morne Karg,3(2003-2003),45,22.5
Aasif Y Karim,34(1996-2003),228,12.67
Irfan A Karim,9(2011-2014),396,44
Saba Karim,34(1997-2000),362,15.74
Karim Janat,1(2017-),9,9
Karim Sadiq,24(2009-2016),475,23.75
Shaul H U Karnain,19(1984-1990),229,19.08
Krishnakumar Dinesh Karthik,91(2004-),1738,31.04
Murali Kartik,37(2002-2007),126,14
Frank Dimuth Madushanka Karunaratne,17(2011-2015),190,15.83
Kashif Raza,1(2001-2001),2,N/A
Michael S Kasprowicz,43(1995-2005),74,18.5
Friday Kasteni,3(2007-2007),18,6
Eion Katchay,5(2008-2009),23,11.5
Simon M Katich,45(2001-2006),1324,35.78
Siddarth Kaul,3(2018-),1,0.5
Paskuwal Handi Tharindu Kaushal,1(2015-2015),0,0
Stefan K W Kelly,10(2006-2009),14,N/A
Justin M Kemp,85(2001-2007),1512,31.5
Robert J Kennedy,7(1996-1996),17,17
John C Kent,2(2002-2002),0,N/A
Martin F Kent,5(1981-1981),78,19.5
Robert B Kerr,4(1985-1985),97,32.33
Alexei N Kervezee,39(2006-2012),924,28
Shaheed Keshvani,5(2009-2009),21,10.5
Daniel Keulder,6(2003-2003),132,22
Robert W T Key,5(2003-2004),54,10.8
Paras Khadka,6(2018-),235,39.17
Subash Prasad Khakurel,2(2018-),69,34.5
Khaled Mahmud,77(1998-2006),991,14.36
Khaled Mashud,126(1995-2006),1818,21.9
Khalid Khan,2(2004-2004),5,2.5
Khalid Latif,5(2008-2010),147,29.4
Khaliq Dad,6(2009-2010),40,13.33
Zaheer Khan,200(2000-2012),792,12
Surinder C Khanna,10(1979-1984),176,22
Usman T Khawaja,22(2013-),633,33.32
Gagan K Khoda,2(1998-1998),115,57.5
Amay R Khurasiya,12(1999-2001),149,13.55
Khurram Chohan,25(2009-2014),165,13.75
Khurram Khan,16(2004-2015),582,41.57
Khurram Manzoor,7(2008-2009),236,33.71
Gary E Kidd,6(2007-2008),15,15
Craig Kieswetter,46(2010-2013),1054,30.11
Jason Kila,2(2018-),34,17
Collis L King,18(1976-1980),280,23.33
Reon D King,50(1998-2005),65,7.22
Vivian J Kingma,1(2014-2014),0,N/A
Syed M H Kirmani,49(1976-1986),373,20.72
Gary Kirsten,185(1993-2003),6798,40.95
Peter N Kirsten,40(1991-1994),1293,38.03
Robert J Kirtley,11(2001-2004),2,1
Heinrich Klaasen,14(2018-),251,22.82
Frederick Jack Klaassen,2(2018-),24,12
Rory K Kleinveldt,10(2013-2013),105,15
Jan F Kloppenburg,6(2002-2003),165,27.5
Lance Klusener,171(1996-2004),3576,41.1
Nicholas V Knight,100(1996-2003),3637,40.41
Alan P E Knott,20(1971-1977),200,20
Louis J Koen,5(1997-2000),82,16.4
Virat Kohli,223(2008-),10577,59.42
Bjorn L Kotze,5(2003-2003),27,9
Deon B Kotze,6(2003-2003),82,16.4
Jason J Krejza,8(2011-2011),13,13
Krishna Chandran,12(2014-),134,16.75
Pallemoni Krishnamurthy,1(1976-1976),6,6
Bradley P Kruger,5(2010-2011),32,10.67
Courtney K Kruger,2(2008-2008),3,1.5
Garnett J-P Kruger,3(2006-2006),0,0
Neil Kruger,2(2011-2011),39,19.5
Christopher M Kuggeleijn,16(1988-1989),142,15.78
Scott Christopher Kuggeleijn,2(2017-),11,N/A
Adrian P Kuiper,25(1991-1996),539,33.69
Chamith K B Kulasekara,4(2011-2012),38,12.67
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,184(2003-),1327,15.43
Kuldeep Yadav,40(2017-),78,15.6
Dhawal S Kulkarni,12(2014-),27,N/A
Nilesh M Kulkarni,10(1997-1998),11,5.5
Rajiv R Kulkarni,10(1983-1987),33,16.5
Bhuvneshwar Kumar,103(2012-),476,14.88
Nitish R Kumar,16(2010-2014),217,15.5
Praveenkumar Sakat Singh,68(2007-2012),292,13.9
Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,8(2017-),16,8
Thirunavukkar A S U Kumaran,8(1999-2000),19,6.33
Anil  Kumble,271(1990-2007),938,10.54
Don S B P Kuruppu,54(1983-1990),1022,20.04
Abey Kuruvilla,25(1997-1997),26,3.71
Kwame Tucker,12(2006-2007),95,9.5
Graeme F Labrooy,44(1986-1992),249,8.59
Bruce M Laird,23(1979-1982),594,29.7
Ranasinghe Arachchige Suranga Lakmal,81(2009-),205,8.2
Materba K G C P Lakshitha,7(2002-2003),7,7
S B Lama,1(2004-2004),16,N/A
Allan J Lamb,122(1982-1992),4010,39.31
Gregory A Lamb,15(2010-2011),197,17.91
Raman Lamba,32(1986-1989),783,27
Clayton B Lambert,12(1990-2004),407,33.92
Sandeep Lamichhane,6(2018-),40,10
John P R Lamsam,2(2004-2008),24,12
Justin L Langer,8(1994-1997),160,32
Charl K Langeveldt,72(2001-2010),73,6.64
Dave Langford-Smith,22(2006-2008),142,15.78
Brian C Lara,299(1990-2007),10405,40.49
Wayne Larkins,25(1979-1991),591,24.63
Gavin Rolf Larsen,121(1990-1999),629,14.63
Rodney T Latham,33(1990-1994),583,20.1
Thomas William Maxwell Latham,85(2012-),2395,33.73
Ben Laughlin,5(2009-2009),1,N/A
Trevor J Laughlin,6(1978-1979),105,26.25
Stuart G Law,54(1994-1999),1237,26.89
David V Lawrence,1(1991-1991),0,N/A
William M Lawry,1(1971-1971),27,27
Geoffrey Francis Lawson,79(1980-1989),378,11.12
Jermaine J C Lawson,13(2001-2005),18,6
Vangipurappu Venkata Sai Laxman,86(1998-2006),2338,30.76
Michael A Leask,30(2014-),435,24.17
Brett Lee,221(2000-2012),1176,17.82
Shane Lee,45(1995-2001),477,17.67
Warren K Lees,31(1979-1983),215,11.32
Roland P Lefebvre,11(1996-2003),171,28.5
Darren S Lehmann,117(1996-2005),3078,38.96
John K Lever,22(1976-1982),56,8
Peter Lever,10(1971-1975),17,17
Russell D M Leverock,32(2006-2009),112,11.2
Clairmonte C Lewis,53(1990-1998),374,14.38
Evin Lewis,35(2016-),1010,32.58
Johnathan Lewis,13(2005-2007),50,8.33
Michael L  Lewis,7(2005-2006),4,N/A
